choco_id,segment,top_dist,top_pattern,split
robbie-williams_11,0,14.02486326265844,75,3
robbie-williams_11,1,1.8151823707933594,10,3
robbie-williams_11,2,10.20862927976623,41,3
robbie-williams_11,3,2.629522320454671,79,3
robbie-williams_11,4,4.80403739239597,11,3
robbie-williams_11,5,1.8151823707933594,10,3
robbie-williams_11,6,10.20862927976623,41,3
robbie-williams_11,7,2.629522320454671,79,3
robbie-williams_11,8,6.69205431561483,11,3
robbie-williams_11,9,12.243540362914295,85,3
robbie-williams_11,-1,1.8151823707933594,10,3
robbie-williams_11,-2,6.707116327561207,6,3
robbie-williams_10,0,10.414949125148393,0,3
robbie-williams_10,1,6.5778743101364014,61,3
robbie-williams_10,2,3.5915907862315226,49,3
robbie-williams_10,3,13.55743715674962,18,3
robbie-williams_10,4,2.7141896042991567,43,3
robbie-williams_10,5,15.369584832747902,85,3
robbie-williams_10,6,10.130480490005542,75,3
robbie-williams_10,7,4.401079480596813,11,3
robbie-williams_10,8,12.672331691031248,11,3
robbie-williams_10,9,2.7141896042991567,43,3
robbie-williams_10,10,15.68528737990636,23,3
robbie-williams_10,11,3.5375932486459822,85,3
robbie-williams_10,12,13.244409674793712,34,3
robbie-williams_10,13,7.701668364742514,19,3
robbie-williams_10,14,14.72454170487317,43,3
robbie-williams_10,15,11.330170806801462,13,3
robbie-williams_10,-1,2.7141896042991567,43,3
robbie-williams_10,-2,9.27296114131306,12,3
schubert-winterreise-audio_1,0,11.892415572832792,61,3
schubert-winterreise-audio_1,1,10.895242173600508,43,3
schubert-winterreise-audio_1,2,1.5457740327374396,72,3
schubert-winterreise-audio_1,3,7.601512772653747,61,3
schubert-winterreise-audio_1,4,2.740240492149491,11,3
schubert-winterreise-audio_1,5,3.738319104425952,60,3
schubert-winterreise-audio_1,6,4.822503481961575,82,3
schubert-winterreise-audio_1,7,4.4367667202418275,79,3
schubert-winterreise-audio_1,-1,1.5457740327374396,72,3
schubert-winterreise-audio_1,-2,5.959096793825417,7,3
schubert-winterreise-audio_0,0,13.244746339155952,75,3
schubert-winterreise-audio_0,1,8.462338752971053,79,3
schubert-winterreise-audio_0,2,16.76373733441801,61,3
schubert-winterreise-audio_0,3,7.620436101258577,43,3
schubert-winterreise-audio_0,4,15.247823961238307,49,3
schubert-winterreise-audio_0,5,9.538628518143183,4,3
schubert-winterreise-audio_0,6,15.617663557080624,61,3
schubert-winterreise-audio_0,7,4.908284873994236,83,3
schubert-winterreise-audio_0,8,16.699599844259232,61,3
schubert-winterreise-audio_0,9,14.12323668662887,79,3
schubert-winterreise-audio_0,10,16.953563212156464,61,3
schubert-winterreise-audio_0,11,7.623166238239745,43,3
schubert-winterreise-audio_0,12,15.859613753013289,49,3
schubert-winterreise-audio_0,13,11.345849445646714,61,3
schubert-winterreise-audio_0,14,13.740427432094204,72,3
schubert-winterreise-audio_0,15,9.140598179402097,12,3
schubert-winterreise-audio_0,16,11.975661505315397,86,3
