split,mean_mean_dist,std_mean_dist,mean_min_dist,std_min_dist,params,method
3,10.343741785194243,2.8664807403573573,5.013596140852477,3.347791579315665,n_regions%13,uniform_split
4,8.94539555431589,2.5048989934194714,4.488126174227558,2.8595275147722354,n_regions%13,uniform_split
5,10.098283952719184,2.353911493702783,4.758298962219042,2.8964373559887235,n_regions%13,uniform_split
6,10.169878750389723,2.196394300472941,5.499941569219798,2.376076983555289,n_regions%13,uniform_split
7,16.280740314397132,4.422490571530704,8.582451255004255,4.837822288174376,n_regions%13,uniform_split
8,14.891023372670523,3.752660415642725,7.93047321489168,3.6118816200096675,n_regions%13,uniform_split
9,18.031779275964574,4.254871358537118,10.608693392227448,4.713102231302444,n_regions%13,uniform_split
10,17.589945870417573,3.742254423291816,10.10434745062323,4.001865974422679,n_regions%13,uniform_split
3,10.024789212838941,2.8886340584819554,4.478684970244013,3.129968830127171,n_regions%14,uniform_split
4,8.585475933904899,2.5325374825039852,3.9541591837165138,2.731369882032222,n_regions%14,uniform_split
5,9.794476565657172,2.296388353857622,4.282337097142753,2.755209204231926,n_regions%14,uniform_split
6,9.980809478236228,2.1724108051595286,5.129342872223804,2.158719120841535,n_regions%14,uniform_split
7,16.24399987358356,4.438561687979549,8.079773715311026,4.66149891217791,n_regions%14,uniform_split
8,14.908207566995168,3.823527914599163,7.595847063945547,3.711800261582702,n_regions%14,uniform_split
9,18.030738150419474,4.292285384963239,10.123321657887935,4.692102964993922,n_regions%14,uniform_split
10,17.60784117589497,3.8463785962077623,9.628061151759628,4.0966812184250525,n_regions%14,uniform_split
3,10.711440140409511,2.8666243417089987,5.455581514944451,3.433354895183388,n_regions%12,uniform_split
4,9.288568723305358,2.533167858541432,4.802470064057916,2.952468267228226,n_regions%12,uniform_split
5,10.394244589377537,2.3034372080422623,5.159489169860097,3.035802166774603,n_regions%12,uniform_split
6,10.433640900741892,2.2173075999051886,5.803305587570037,2.4027285146226776,n_regions%12,uniform_split
7,16.362011795694134,4.32320334860794,9.074166368558293,4.7959721645045725,n_regions%12,uniform_split
8,14.945053227701774,3.7751597884912567,8.351543892339897,3.8996166484068686,n_regions%12,uniform_split
9,18.09210998844037,4.220396872282086,11.083623911191188,4.646656527931127,n_regions%12,uniform_split
10,17.68515532334452,3.7431310040785895,10.511728305750003,4.115526615317569,n_regions%12,uniform_split
3,11.594988190589165,2.939488172054472,6.718075376067112,3.73944662873958,n_regions%10,uniform_split
4,10.163504481821809,2.6211409684685565,5.8833220923686715,3.2674619207355824,n_regions%10,uniform_split
5,11.045511949436182,2.4529069450782934,6.168932056963286,3.2605783630400875,n_regions%10,uniform_split
6,11.041878228048505,2.3091815392716875,6.770904435156905,2.6688430570638566,n_regions%10,uniform_split
7,16.68827205390324,4.270145635649883,10.092771695575745,4.901125386118131,n_regions%10,uniform_split
8,15.24718440709431,3.6981732946519825,9.146218589318405,3.85877496604233,n_regions%10,uniform_split
9,18.126571430667532,4.17781222252858,11.884546795579007,4.753364505662107,n_regions%10,uniform_split
10,17.66254811818542,3.7047447249300056,11.151146314023304,4.27097280752654,n_regions%10,uniform_split
3,11.19542990110615,2.890634998845538,6.06184444466864,3.5717183105688024,n_regions%11,uniform_split
4,9.746484899454703,2.6118666537119823,5.277182413608971,3.094786025752185,n_regions%11,uniform_split
5,10.672707765104107,2.5011092866775884,5.609793547817386,3.129403334268593,n_regions%11,uniform_split
6,10.737466408731159,2.305517718566868,6.216886675294523,2.591549906349501,n_regions%11,uniform_split
7,16.550186396584035,4.372861106718225,9.606849684384093,4.983041343461429,n_regions%11,uniform_split
8,15.119573452589393,3.720054809731539,8.811310346841307,3.864426186011048,n_regions%11,uniform_split
9,18.119140167099992,4.17445818571003,11.277273921009645,4.646034608037264,n_regions%11,uniform_split
10,17.62325115389565,3.758547527914296,10.847406942916516,4.218299312108255,n_regions%11,uniform_split
