split,mean_mean_dist,std_mean_dist,mean_min_dist,std_min_dist,params,method
3,9.57516864841769,2.5148784405402083,3.789293197725332,2.750281011221386,n_regions%10__m%3,fluss_segmentation
4,8.237161597045311,2.0455723521909084,3.1061255099515295,2.0201682709957405,n_regions%10__m%3,fluss_segmentation
5,9.638044675733115,2.143181350440341,3.853253181069843,2.4249703627146206,n_regions%10__m%3,fluss_segmentation
6,9.868333377655432,2.1221218459940374,4.817774959112782,1.9032785163667068,n_regions%10__m%3,fluss_segmentation
7,16.688126547285375,4.800592970681273,8.243662145056524,4.907531585846578,n_regions%10__m%3,fluss_segmentation
8,15.223074392337887,4.071559174021931,7.880277146670347,3.6825134322864312,n_regions%10__m%3,fluss_segmentation
9,18.590001109628975,4.495760519152071,10.745106245524395,4.887473565903278,n_regions%10__m%3,fluss_segmentation
10,18.083366056872244,4.027011258517188,10.275949922803296,4.298493962156693,n_regions%10__m%3,fluss_segmentation
3,9.443704171450774,2.495478991029994,3.5918523067076413,2.6402967388305747,n_regions%11__m%3,fluss_segmentation
4,8.114837511380482,2.004840153223981,2.95577547103524,1.9254496777060155,n_regions%11__m%3,fluss_segmentation
5,9.552721172931179,2.0825627708545826,3.6923781971726206,2.314004941137162,n_regions%11__m%3,fluss_segmentation
6,9.797670678282572,2.0890901386576792,4.700433678433953,1.8668052330789162,n_regions%11__m%3,fluss_segmentation
7,16.527808795973623,4.756807784765625,7.866011867685842,4.757359971847141,n_regions%11__m%3,fluss_segmentation
8,15.102548799695558,4.031119087413318,7.654574079989696,3.6553003836390876,n_regions%11__m%3,fluss_segmentation
9,18.46628088439686,4.456453793834237,10.419830499552663,4.824935808610227,n_regions%11__m%3,fluss_segmentation
10,17.982706258076313,4.0005725222393815,9.992789134416176,4.242799604356675,n_regions%11__m%3,fluss_segmentation
3,9.157191793937956,2.453551578962631,3.315492339310149,2.5265939573470955,n_regions%14__m%3,fluss_segmentation
4,7.805196674878003,1.928023187863267,2.7185283866555428,1.8360889331300592,n_regions%14__m%3,fluss_segmentation
5,9.288494651602758,1.9994801114568732,3.4106656869264556,2.2414706150571417,n_regions%14__m%3,fluss_segmentation
6,9.57729651854527,1.9563904925015017,4.398118276234795,1.7783599115744113,n_regions%14__m%3,fluss_segmentation
7,16.25608298886059,4.6784666338495615,7.381262013484237,4.656899437942474,n_regions%14__m%3,fluss_segmentation
8,14.875481283933743,3.942422811740536,7.185631364902878,3.679084749707503,n_regions%14__m%3,fluss_segmentation
9,18.31249059617241,4.35101998256032,9.866598902279886,4.7199935736142065,n_regions%14__m%3,fluss_segmentation
10,17.81291139626932,3.9090257693194403,9.348149400028458,4.255337189373205,n_regions%14__m%3,fluss_segmentation
3,9.34821795246918,2.47608958507515,3.481684864528032,2.5722708584701857,n_regions%12__m%3,fluss_segmentation
4,8.01239760505368,1.9801339687324584,2.8867595708765497,1.906627849370719,n_regions%12__m%3,fluss_segmentation
5,9.474619683807232,2.0611501199072446,3.6081980314723276,2.294593096035102,n_regions%12__m%3,fluss_segmentation
6,9.719774836720651,2.033902708280929,4.575285878157335,1.8091950041117577,n_regions%12__m%3,fluss_segmentation
7,16.422775957611726,4.729264230151677,7.713084954799503,4.717601053909979,n_regions%12__m%3,fluss_segmentation
8,15.030657024813504,3.99798098070181,7.507091803608219,3.71220193461779,n_regions%12__m%3,fluss_segmentation
9,18.40630370167301,4.398055784252613,10.188892265244188,4.760629641971326,n_regions%12__m%3,fluss_segmentation
10,17.929150857023334,3.9688063666786326,9.784362938384158,4.2916530256989605,n_regions%12__m%3,fluss_segmentation
3,9.254702332787756,2.4500607951031736,3.3908234307221137,2.522657702891982,n_regions%13__m%3,fluss_segmentation
4,7.915719356431123,1.928125475823521,2.7936604070810915,1.8569419470783763,n_regions%13__m%3,fluss_segmentation
5,9.385846195148321,2.0190624910195543,3.5221419754230396,2.2444125807448714,n_regions%13__m%3,fluss_segmentation
6,9.654389632502177,1.9743127981503577,4.471213642608943,1.7908419786225276,n_regions%13__m%3,fluss_segmentation
7,16.3432014977447,4.717833957657877,7.52415405408005,4.66310310049725,n_regions%13__m%3,fluss_segmentation
8,14.939863409138809,3.9584639730120594,7.334660252572059,3.664960007484716,n_regions%13__m%3,fluss_segmentation
9,18.357650328845924,4.394597362539323,10.05610261892199,4.748874671297277,n_regions%13__m%3,fluss_segmentation
10,17.86553294823418,3.9691435966072284,9.53814182655515,4.273894259370953,n_regions%13__m%3,fluss_segmentation
