split,mean_mean_dist,std_mean_dist,mean_min_dist,std_min_dist,params,method
3,10.338921909063366,2.6483116900566865,4.722937117637711,3.004233340749364,n_regions%13,uniform_split
4,9.019499317447515,2.4457411699644993,4.1939914550394235,2.728622864535785,n_regions%13,uniform_split
5,10.229529026949168,2.182191558250817,4.795423721880868,2.799756494162337,n_regions%13,uniform_split
6,10.15246386204183,2.2688859943624378,5.0044238333924245,2.315915626066385,n_regions%13,uniform_split
7,15.81605363519686,4.197510696011862,7.393473954485615,4.153204584753851,n_regions%13,uniform_split
8,14.566587884680832,3.8120821634509956,7.229513065555804,3.1482375168601933,n_regions%13,uniform_split
9,17.729798414986163,4.283172553885621,9.783694176445486,4.3096722891811385,n_regions%13,uniform_split
10,17.34080364281283,3.907533112585831,9.382109723205,3.84460161871234,n_regions%13,uniform_split
3,10.05046079970138,2.647065499132205,4.2818505542393765,3.131364787753494,n_regions%14,uniform_split
4,8.681773431132447,2.328958307717925,3.8004146717536713,2.7761229511679772,n_regions%14,uniform_split
5,9.789085982328285,2.0415366536316926,4.182003063755419,2.7741597786682815,n_regions%14,uniform_split
6,9.936929384973904,2.169781959023009,4.924455038108565,2.3710314226529903,n_regions%14,uniform_split
7,15.787144645825206,4.201485323065112,7.081351698989492,3.836442200347317,n_regions%14,uniform_split
8,14.62299347940119,3.7820196626150135,7.126329770105469,3.3342336545685782,n_regions%14,uniform_split
9,17.698448223221398,4.359579548187595,9.301296156305158,4.423820309267508,n_regions%14,uniform_split
10,17.394345903091157,3.8262280189379396,9.04287509220473,3.564332449383721,n_regions%14,uniform_split
3,10.695601447234907,2.6111364692736996,5.015486457320154,3.081758761374799,n_regions%12,uniform_split
4,9.352151638226553,2.3727513107414375,4.52645686322097,2.65393623408997,n_regions%12,uniform_split
5,10.576910564966227,2.1050790731543447,5.1030362213565885,2.980860767159131,n_regions%12,uniform_split
6,10.385023847592894,2.122559352646413,5.624835458634685,2.4253391414143013,n_regions%12,uniform_split
7,15.978905821165293,4.027011640687875,7.983733660451453,4.212094140711225,n_regions%12,uniform_split
8,14.85105182538732,3.666912840823441,8.025524091493974,3.2695875401612606,n_regions%12,uniform_split
9,17.7983329382593,4.301564510553167,10.435340806917058,4.495096983869127,n_regions%12,uniform_split
10,17.495712770692265,3.9422077981108194,10.262832104659655,4.026859097062473,n_regions%12,uniform_split
3,11.734603082465664,2.767374902567211,6.551943028918928,3.6957875136504237,n_regions%10,uniform_split
4,10.261447843718727,2.6763773944400566,6.001755804499935,3.478605596443967,n_regions%10,uniform_split
5,11.21790957714387,2.4383283126861786,6.462677093089691,3.3998689357849226,n_regions%10,uniform_split
6,10.979743349898687,2.438492012949473,6.513892136999033,2.8569450776320453,n_regions%10,uniform_split
7,16.360212411769616,4.048940443442079,9.319514582685352,4.523380152338579,n_regions%10,uniform_split
8,15.151013577630025,3.594972980726787,8.358547061408135,3.2324620227550858,n_regions%10,uniform_split
9,18.007939543704246,4.211300396710296,11.274487196894777,4.574293995940686,n_regions%10,uniform_split
10,17.62973875527399,3.7466198028410345,10.98130530127867,4.08691440051518,n_regions%10,uniform_split
3,11.245923252493462,2.645770855458007,5.704879948075644,3.514425638857546,n_regions%11,uniform_split
4,9.78337972851339,2.466154793320685,4.948121097006673,3.0654119062079137,n_regions%11,uniform_split
5,10.822467364704899,2.2083516767751368,5.424931762793736,3.209615187807036,n_regions%11,uniform_split
6,10.502211663447145,2.2861335883655247,5.744367324840819,2.634427400346695,n_regions%11,uniform_split
7,16.161950698690905,4.207578667986976,8.780866771778404,4.434372657395047,n_regions%11,uniform_split
8,14.88851714920907,3.7656562556945516,8.084415424105718,3.2180158936348473,n_regions%11,uniform_split
9,17.77032546111488,4.282655025096418,10.556645976338995,4.142686254796663,n_regions%11,uniform_split
10,17.395244764202193,3.8231455635574867,10.167219298992118,3.6768781876219285,n_regions%11,uniform_split
