choco_id,segment,top_dist,top_pattern,split
robbie-williams_11,0,2.827586206896552,42,3
robbie-williams_11,1,4.568444993121008,49,3
robbie-williams_11,2,2.756410752738447,34,3
robbie-williams_11,3,7.071866519957787,41,3
robbie-williams_11,4,4.791521693855438,50,3
robbie-williams_11,5,4.835307864067102,83,3
robbie-williams_11,6,7.110161708736007,85,3
robbie-williams_11,7,2.261251429222176,50,3
robbie-williams_11,8,1.8540696632786295,44,3
robbie-williams_11,9,6.858862532793424,61,3
robbie-williams_11,10,3.5575780349045356,34,3
robbie-williams_11,11,2.827586206896552,42,3
robbie-williams_11,12,12.243540362914295,85,3
robbie-williams_11,-1,1.8540696632786295,44,3
robbie-williams_11,-2,4.889552920721689,9,3
robbie-williams_39,0,17.33917951503067,28,3
robbie-williams_39,1,13.234597760546865,28,3
robbie-williams_39,2,14.3168971289422,85,3
robbie-williams_39,3,11.864825261165977,41,3
robbie-williams_39,4,3.1072294972583827,14,3
robbie-williams_39,5,4.228885439105071,32,3
robbie-williams_39,6,18.19190213282997,61,3
robbie-williams_39,7,11.900886266820244,11,3
robbie-williams_39,8,2.600134909149684,62,3
robbie-williams_39,9,1.874559004818089,86,3
robbie-williams_39,10,12.460591863303632,85,3
robbie-williams_39,11,18.126479602570424,49,3
robbie-williams_39,12,11.08658228570219,6,3
robbie-williams_39,-1,1.874559004818089,86,3
robbie-williams_39,-2,10.794826974403339,11,3
casd_13,0,7.098927252280784,75,3
casd_13,1,10.144204017498492,61,3
casd_13,2,8.155536916837699,85,3
casd_13,3,12.726625773046916,61,3
casd_13,4,9.499045574435785,75,3
casd_13,5,6.222442218144347,85,3
casd_13,6,10.496998608457996,11,3
casd_13,7,5.771305459452133,79,3
casd_13,8,1.1559441580594292,0,3
casd_13,9,12.40276090241113,75,3
casd_13,10,12.513678603822385,11,3
casd_13,11,7.1378269191140875,11,3
casd_13,12,16.26718427342278,75,3
casd_13,-1,1.1559441580594292,0,3
casd_13,-2,9.199421590537229,6,3
jaah_2,0,17.213132033062248,72,3
jaah_2,1,12.238707819227617,80,3
jaah_2,2,9.503472674009023,12,3
jaah_2,3,15.178770220223225,85,3
jaah_2,4,13.139831521514767,86,3
jaah_2,5,10.702731157100287,11,3
jaah_2,6,10.770964404239022,85,3
jaah_2,7,11.717759421074424,72,3
jaah_2,8,13.460736932403702,59,3
jaah_2,9,10.982758620689657,85,3
jaah_2,10,12.48910345513083,75,3
jaah_2,11,8.842390603306926,85,3
jaah_2,12,9.091636145394173,28,3
jaah_2,-1,8.842390603306926,85,3
jaah_2,-2,11.948615000567376,9,3
rwc-pop_59,0,7.643261158791989,16,3
rwc-pop_59,1,10.424149908168378,11,3
rwc-pop_59,2,11.027408831680386,50,3
rwc-pop_59,3,8.224174076404342,23,3
rwc-pop_59,4,6.799248926836287,57,3
rwc-pop_59,5,10.563141783019894,43,3
rwc-pop_59,6,8.639083824239444,85,3
rwc-pop_59,7,9.490858609538673,50,3
rwc-pop_59,8,10.753452560635607,83,3
rwc-pop_59,9,5.61770070728435,23,3
rwc-pop_59,10,6.15589679886979,43,3
rwc-pop_59,11,12.182471179641926,45,3
rwc-pop_59,12,4.1003683022419946,6,3
rwc-pop_59,-1,4.1003683022419946,6,3
rwc-pop_59,-2,8.586247435950236,10,3
rwc-pop_65,0,11.798823980575927,49,3
rwc-pop_65,1,12.789931291819547,11,3
rwc-pop_65,2,14.322803052372509,59,3
rwc-pop_65,3,10.067016816624818,83,3
rwc-pop_65,4,9.375997766960083,11,3
rwc-pop_65,5,9.89656674274963,23,3
rwc-pop_65,6,14.828017235114462,59,3
rwc-pop_65,7,12.377160989088802,59,3
rwc-pop_65,8,12.168517985536623,43,3
rwc-pop_65,9,4.792731317729766,63,3
rwc-pop_65,10,3.173022805111843,19,3
rwc-pop_65,11,7.37612725418406,32,3
rwc-pop_65,12,15.39390640286186,75,3
rwc-pop_65,-1,3.173022805111843,19,3
rwc-pop_65,-2,10.643124895440764,10,3
schubert-winterreise-audio_146,0,13.33527903956345,16,3
schubert-winterreise-audio_146,1,4.741159869530061,50,3
schubert-winterreise-audio_146,2,10.373681025853807,49,3
schubert-winterreise-audio_146,3,1.9127055002166058,62,3
schubert-winterreise-audio_146,4,7.091029485741653,14,3
schubert-winterreise-audio_146,5,2.8381845112425834,62,3
schubert-winterreise-audio_146,6,2.3075768287213867,33,3
schubert-winterreise-audio_146,7,3.7157872531699723,3,3
schubert-winterreise-audio_146,8,3.6599675768366895,82,3
schubert-winterreise-audio_146,9,9.844737000609879,62,3
schubert-winterreise-audio_146,10,2.8284796738107443,14,3
schubert-winterreise-audio_146,11,3.1322419060326823,82,3
schubert-winterreise-audio_146,12,16.26380324758326,75,3
schubert-winterreise-audio_146,-1,1.9127055002166058,62,3
schubert-winterreise-audio_146,-2,6.311125609147137,9,3
casd_3,0,13.632840499006198,50,3
casd_3,1,7.343269221113002,52,3
casd_3,2,3.0006440053906447,82,3
casd_3,3,9.517053971168323,13,3
casd_3,4,9.56450657217007,82,3
casd_3,5,11.220760655096141,11,3
casd_3,6,10.129776218193456,86,3
casd_3,7,7.968949850027126,85,3
casd_3,8,9.950292630093578,32,3
casd_3,9,11.182134447263207,32,3
casd_3,10,9.32114635236651,13,3
casd_3,11,14.366456257488665,57,3
casd_3,12,8.43676203449137,73,3
casd_3,-1,3.0006440053906447,82,3
casd_3,-2,9.66419943952833,10,3
schubert-winterreise-audio_14,0,10.28595315673027,61,3
schubert-winterreise-audio_14,1,9.865022465868023,0,3
schubert-winterreise-audio_14,2,9.078662705924422,6,3
schubert-winterreise-audio_14,3,2.6001349091496846,76,3
schubert-winterreise-audio_14,4,3.763442020051292,63,3
schubert-winterreise-audio_14,5,4.5495357853377705,85,3
schubert-winterreise-audio_14,6,14.274800060447609,13,3
schubert-winterreise-audio_14,7,8.219473845524732,75,3
schubert-winterreise-audio_14,8,5.860902520866245,45,3
schubert-winterreise-audio_14,9,7.81700256696809,61,3
schubert-winterreise-audio_14,10,11.483444631056061,75,3
schubert-winterreise-audio_14,11,10.961477243198154,61,3
schubert-winterreise-audio_14,12,6.930412564309132,6,3
schubert-winterreise-audio_14,-1,2.6001349091496846,76,3
schubert-winterreise-audio_14,-2,8.130020344263961,9,3
casd_2,0,8.214861391486272,75,3
casd_2,1,15.585863590970432,28,3
casd_2,2,4.219913440005788,78,3
casd_2,3,4.532122107431642,6,3
casd_2,4,6.688321943220976,79,3
casd_2,5,11.185895441899081,75,3
casd_2,6,6.698536585703765,50,3
casd_2,7,7.514987007741001,83,3
casd_2,8,12.27831968812722,85,3
casd_2,9,17.50720931848603,50,3
casd_2,10,6.688321943220976,79,3
casd_2,11,10.807690924306584,75,3
casd_2,12,7.969360171668671,39,3
casd_2,-1,4.219913440005788,78,3
casd_2,-2,9.22241565802065,9,3
schubert-winterreise-audio_147,0,14.15413285275073,75,3
schubert-winterreise-audio_147,1,16.294891345071356,28,3
schubert-winterreise-audio_147,2,4.326143460563844,43,3
schubert-winterreise-audio_147,3,10.218568582552923,85,3
schubert-winterreise-audio_147,4,10.714209840623711,50,3
schubert-winterreise-audio_147,5,3.8358097430993174,83,3
schubert-winterreise-audio_147,6,5.8315636294095725,55,3
schubert-winterreise-audio_147,7,12.696961914368913,85,3
schubert-winterreise-audio_147,8,16.350264627486084,85,3
schubert-winterreise-audio_147,9,8.631183268449085,59,3
schubert-winterreise-audio_147,10,6.117191812573744,53,3
schubert-winterreise-audio_147,11,8.43307922458254,75,3
schubert-winterreise-audio_147,12,10.9201512230756,79,3
schubert-winterreise-audio_147,-1,3.8358097430993174,83,3
schubert-winterreise-audio_147,-2,9.88647319420057,10,3
rwc-pop_64,0,9.361878451100223,32,3
rwc-pop_64,1,4.784133258436971,53,3
rwc-pop_64,2,12.69157594158795,32,3
rwc-pop_64,3,16.10954805835567,45,3
rwc-pop_64,4,5.691901333015182,82,3
rwc-pop_64,5,12.567865710361248,13,3
rwc-pop_64,6,15.435339411067046,85,3
rwc-pop_64,7,7.204235608414384,34,3
rwc-pop_64,8,6.5517014518663474,14,3
rwc-pop_64,9,7.57208717340947,32,3
rwc-pop_64,10,4.895762442458226,58,3
rwc-pop_64,11,5.710984055509435,63,3
rwc-pop_64,12,10.185803578035513,9,3
rwc-pop_64,-1,4.784133258436971,53,3
rwc-pop_64,-2,9.13560126720136,11,3
rwc-pop_58,0,18.47451405155604,75,3
rwc-pop_58,1,17.412111561010622,28,3
rwc-pop_58,2,17.94503763560174,11,3
rwc-pop_58,3,17.4860059556383,49,3
rwc-pop_58,4,8.72742544028281,83,3
rwc-pop_58,5,3.4777191262444385,14,3
rwc-pop_58,6,5.687721719554878,50,3
rwc-pop_58,7,15.3180898397187,85,3
rwc-pop_58,8,17.377830738877066,85,3
rwc-pop_58,9,14.349520535394879,11,3
rwc-pop_58,10,12.202463640841723,53,3
rwc-pop_58,11,1.5779394742962123,63,3
rwc-pop_58,12,4.760588049088813,14,3
rwc-pop_58,-1,1.5779394742962123,63,3
rwc-pop_58,-2,11.907459059085095,10,3
casd_12,0,15.030053127895071,75,3
casd_12,1,15.568154024752157,79,3
casd_12,2,12.738357627791261,49,3
casd_12,3,13.77456728626711,49,3
casd_12,4,15.322610805685073,75,3
casd_12,5,15.593957868277759,61,3
casd_12,6,12.863524924527793,49,3
casd_12,7,13.012993140992387,49,3
casd_12,8,14.652819283699676,75,3
casd_12,9,12.25083413404108,72,3
casd_12,10,12.65808479125653,32,3
casd_12,11,15.890501129899402,61,3
casd_12,12,12.840209769327485,49,3
casd_12,-1,12.25083413404108,72,3
casd_12,-2,14.015128301108676,6,3
robbie-williams_38,0,3.648945574408317,16,3
robbie-williams_38,1,13.257051160408146,72,3
robbie-williams_38,2,10.617484402141898,17,3
robbie-williams_38,3,15.31825479111188,61,3
robbie-williams_38,4,10.325384026336252,85,3
robbie-williams_38,5,13.497775832987235,85,3
robbie-williams_38,6,15.143575650157965,85,3
robbie-williams_38,7,6.49613440346423,50,3
robbie-williams_38,8,13.1668272139602,75,3
robbie-williams_38,9,13.323894300621191,72,3
robbie-williams_38,10,13.494394837609192,18,3
robbie-williams_38,11,13.981716870926101,18,3
robbie-williams_38,12,13.509366108430305,18,3
robbie-williams_38,-1,3.648945574408317,16,3
robbie-williams_38,-2,11.983138859427916,8,3
uspop2002_12,0,10.810688549779467,61,3
uspop2002_12,1,14.22554851939863,79,3
uspop2002_12,2,2.9303751793982444,27,3
uspop2002_12,3,10.136083575508971,75,3
uspop2002_12,4,10.864258126413262,79,3
uspop2002_12,5,2.694017240882768,5,3
uspop2002_12,6,11.38690968820446,16,3
uspop2002_12,7,11.968460832404032,61,3
uspop2002_12,8,12.045457400831388,61,3
uspop2002_12,9,11.249018982197121,6,3
uspop2002_12,10,11.569517947651173,2,3
uspop2002_12,11,12.170582063995813,61,3
uspop2002_12,12,10.292049273113212,79,3
uspop2002_12,-1,2.694017240882768,5,3
uspop2002_12,-2,10.180228259982966,8,3
robbie-williams_10,0,10.38892898339942,0,3
robbie-williams_10,1,13.156132743905692,75,3
robbie-williams_10,2,12.309680750947594,75,3
robbie-williams_10,3,12.969391387446096,50,3
robbie-williams_10,4,10.631543938490418,61,3
robbie-williams_10,5,15.191797962288454,85,3
robbie-williams_10,6,11.633971229275701,18,3
robbie-williams_10,7,13.949810239121215,11,3
robbie-williams_10,8,13.007155261258607,60,3
robbie-williams_10,9,10.187218916411476,42,3
robbie-williams_10,10,14.65858986523256,82,3
robbie-williams_10,11,11.349045437500436,82,3
robbie-williams_10,12,14.576431467957827,83,3
robbie-williams_10,-1,10.187218916411476,42,3
robbie-williams_10,-2,12.616130629479654,11,3
jaah_17,0,10.689557841603612,75,3
