choco_id,segment,top_dist,top_pattern,split
robbie-williams_11,0,3.3896306169524855,78,3
robbie-williams_11,1,1.3716381450481938,86,3
robbie-williams_11,2,1.351332631550773,86,3
robbie-williams_11,3,1.3512226374411482,86,3
robbie-williams_11,4,1.3731543661215126,86,3
robbie-williams_11,5,2.3949386781909245,82,3
robbie-williams_11,6,1.355505793862135,86,3
robbie-williams_11,7,2.3949386781909245,82,3
robbie-williams_11,8,2.3949386781909245,82,3
robbie-williams_11,-1,1.3512226374411482,86,3
robbie-williams_11,-2,1.9308111361721134,3,3
robbie-williams_10,0,4.235347547322554,16,3
robbie-williams_10,1,10.788323828773533,85,3
robbie-williams_10,2,8.625515890411608,49,3
robbie-williams_10,3,9.40041046995115,61,3
robbie-williams_10,4,4.024486584783931,62,3
robbie-williams_10,5,10.429880243919246,85,3
robbie-williams_10,6,10.167035398730976,41,3
robbie-williams_10,7,8.491987550419537,18,3
robbie-williams_10,8,6.669985301625494,55,3
robbie-williams_10,-1,4.024486584783931,62,3
robbie-williams_10,-2,8.092552535104225,8,3
schubert-winterreise-audio_1,0,2.8520806181727183,31,3
schubert-winterreise-audio_1,1,5.628670027478978,85,3
schubert-winterreise-audio_1,2,2.6691303522118757,82,3
schubert-winterreise-audio_1,3,9.499029927316133,6,3
schubert-winterreise-audio_1,4,2.621767019927143,18,3
schubert-winterreise-audio_1,5,11.417529860236565,75,3
schubert-winterreise-audio_1,6,4.7871458882149724,43,3
schubert-winterreise-audio_1,7,7.7001822175267565,41,3
schubert-winterreise-audio_1,8,4.737019939503446,50,3
schubert-winterreise-audio_1,-1,2.621767019927143,18,3
schubert-winterreise-audio_1,-2,5.76806176117651,9,3
schubert-winterreise-audio_0,0,13.99222648124654,16,3
schubert-winterreise-audio_0,1,5.200927155979726,55,3
schubert-winterreise-audio_0,2,12.377533250603605,85,3
schubert-winterreise-audio_0,3,4.933656163447156,43,3
schubert-winterreise-audio_0,4,10.903478810836432,11,3
schubert-winterreise-audio_0,5,5.048133359586612,26,3
schubert-winterreise-audio_0,6,13.851557174102958,11,3
schubert-winterreise-audio_0,7,7.074913393418715,43,3
schubert-winterreise-audio_0,8,9.996119936910691,11,3
schubert-winterreise-audio_0,-1,4.933656163447156,43,3
