dataset,distance,tps_mode,stretch,cinstraint,first_tier,second_tier
merge,tpsd,offset,,,0.8702541827541826,1.3189350064350067
merge,tpsd,profile,,,0.9425675675675678,1.5260617760617765
merge,dtw,offset,stretch,,0.7882882882882882,1.2520109395109393
merge,dtw,profile,stretch,,0.8603603603603603,1.34210102960103
merge,dtw,offset,no-stretch,,0.5900900900900902,1.0042631917631915
merge,dtw,profile,no-stretch,,0.8063063063063062,1.319578507078507
merge,ctw,offset,stretch,,0.7882882882882882,1.2520109395109393
merge,ctw,profile,stretch,,0.8603603603603603,1.34210102960103
merge,ctw,offset,no-stretch,,0.5900900900900902,1.0042631917631915
merge,ctw,profile,no-stretch,,0.8063063063063062,1.319578507078507
