dataset,distance,tps_mode,stretch,cinstraint,first_tier,second_tier
CASD,tpsd,offset,,,0.8333333333333333,1.153333333333333
CASD,tpsd,profile,,,0.98,1.5266666666666668
CASD,dtw,offset,stretch,,0.6866666666666665,0.9533333333333333
CASD,dtw,profile,stretch,,0.7933333333333333,1.1266666666666665
CASD,dtw,offset,no-stretch,,0.3999999999999999,0.5933333333333332
CASD,dtw,profile,no-stretch,,0.7266666666666666,1.0733333333333333
CASD,ctw,offset,stretch,,0.6866666666666665,0.9533333333333333
CASD,ctw,profile,stretch,,0.7933333333333333,1.1266666666666665
CASD,ctw,offset,no-stretch,,0.3999999999999999,0.5933333333333332
CASD,ctw,profile,no-stretch,,0.7266666666666666,1.0733333333333333
CASD,dtw,offset,stretch,sakoe_chiba,0.7866666666666667,1.093333333333333
CASD,dtw,offset,stretch,itakura,0.72,0.9733333333333332
CASD,dtw,profile,stretch,sakoe_chiba,0.8933333333333333,1.2999999999999994
CASD,dtw,profile,stretch,itakura,0.7999999999999998,1.1266666666666663
CASD,dtw,offset,no-stretch,sakoe_chiba,0.3133333333333334,0.3666666666666668
CASD,dtw,offset,no-stretch,itakura,0.6066666666666667,0.8599999999999999
CASD,dtw,profile,no-stretch,sakoe_chiba,0.7133333333333332,0.9866666666666667
CASD,dtw,profile,no-stretch,itakura,0.7533333333333332,1.1266666666666665
CASD,ctw,offset,stretch,sakoe_chiba,0.7866666666666667,1.093333333333333
CASD,ctw,offset,stretch,itakura,0.72,0.9733333333333332
CASD,ctw,profile,stretch,sakoe_chiba,0.8933333333333333,1.2999999999999994
CASD,ctw,profile,stretch,itakura,0.7999999999999998,1.1266666666666663
CASD,ctw,offset,no-stretch,sakoe_chiba,0.3133333333333334,0.3666666666666668
CASD,ctw,offset,no-stretch,itakura,0.6066666666666667,0.8599999999999999
CASD,ctw,profile,no-stretch,sakoe_chiba,0.7133333333333332,0.9866666666666667
CASD,ctw,profile,no-stretch,itakura,0.7533333333333332,1.1266666666666665
