dataset,distance,tps_mode,stretch,cinstraint,first_tier,second_tier
biab_jams,tpsd,offset,,,0.46861471861471865,0.553896103896104
biab_jams,tpsd,profile,,,0.6082251082251082,0.6935064935064935
biab_jams,dtw,offset,stretch,,0.282034632034632,0.3296536796536797
biab_jams,dtw,profile,stretch,,0.3495670995670995,0.3991341991341991
biab_jams,dtw,offset,no-stretch,,0.4075757575757576,0.48852813852813853
biab_jams,dtw,profile,no-stretch,,0.4242424242424242,0.503030303030303
biab_jams,ctw,offset,stretch,,0.282034632034632,0.3296536796536797
biab_jams,ctw,profile,stretch,,0.3495670995670995,0.3991341991341991
biab_jams,ctw,offset,no-stretch,,0.4075757575757576,0.48852813852813853
biab_jams,ctw,profile,no-stretch,,0.4242424242424242,0.503030303030303
biab_jams,dtw,offset,stretch,sakoe_chiba,0.36753246753246754,0.43246753246753245
biab_jams,dtw,offset,stretch,itakura,0.33831168831168834,0.3967532467532468
biab_jams,dtw,profile,stretch,sakoe_chiba,0.3794372294372294,0.4140692640692641
biab_jams,dtw,profile,stretch,itakura,0.34307359307359303,0.3872294372294372
biab_jams,dtw,offset,no-stretch,sakoe_chiba,0.4307359307359307,0.5084415584415585
biab_jams,dtw,offset,no-stretch,itakura,0.4151515151515151,0.48982683982683983
biab_jams,dtw,profile,no-stretch,sakoe_chiba,0.4307359307359307,0.503030303030303
biab_jams,dtw,profile,no-stretch,itakura,0.34047619047619043,0.3945887445887446
biab_jams,ctw,offset,stretch,sakoe_chiba,0.36753246753246754,0.43246753246753245
biab_jams,ctw,offset,stretch,itakura,0.33831168831168834,0.3967532467532468
biab_jams,ctw,profile,stretch,sakoe_chiba,0.3794372294372294,0.4140692640692641
biab_jams,ctw,profile,stretch,itakura,0.34307359307359303,0.3872294372294372
biab_jams,ctw,offset,no-stretch,sakoe_chiba,0.4307359307359307,0.5084415584415585
biab_jams,ctw,offset,no-stretch,itakura,0.4151515151515151,0.48982683982683983
biab_jams,ctw,profile,no-stretch,sakoe_chiba,0.4307359307359307,0.503030303030303
biab_jams,ctw,profile,no-stretch,itakura,0.34047619047619043,0.3945887445887446
