split,mean_mean_dist,std_mean_dist,mean_min_dist,std_min_dist,params,method
3,8.843469781419625,2.2541841998995675,1.8949152043993944,1.4379169707722457,k%8__p%msaf__pml%24__psig%2,harmov
3,9.21763031340736,2.2224637845883426,3.2977768507402407,2.045023164407094,n_regions%14__m%3,fluss_segmentation
3,9.34379825052848,2.1606622677178917,3.376684655189086,2.0082058094935986,n_regions%13__m%3,fluss_segmentation
3,9.463336012847344,2.266573510538395,3.5318433216630774,2.067511364060405,n_regions%12__m%3,fluss_segmentation
3,9.628276671345285,2.252974687703384,3.712072950916091,2.254441040164503,n_regions%11__m%3,fluss_segmentation
3,9.666134421469778,2.3075821035456907,3.8084024379856474,2.313068292620017,n_regions%10__m%3,fluss_segmentation
3,10.05046079970138,2.647065499132205,4.2818505542393765,3.131364787753494,n_regions%14,uniform_split
3,10.338921909063366,2.6483116900566865,4.722937117637711,3.004233340749364,n_regions%13,uniform_split
3,10.695601447234909,2.6111364692737,5.015486457320154,3.081758761374799,n_regions%12,uniform_split
3,11.245923252493462,2.645770855458007,5.704879948075644,3.514425638857546,n_regions%11,uniform_split
3,11.734603082465664,2.767374902567211,6.551943028918928,3.695787513650424,n_regions%10,uniform_split
4,7.678270453460645,2.0390320854751307,1.7011197194462977,1.3690473211996397,k%8__p%msaf__pml%24__psig%2,harmov
4,7.775928143228823,1.7446762142918375,2.6062027479937866,1.4930398291454132,n_regions%14__m%3,fluss_segmentation
4,7.9061425414828435,1.701601076826572,2.723023619308428,1.4931135305253278,n_regions%13__m%3,fluss_segmentation
4,8.038571350700309,1.8103612252027108,2.886429648496152,1.5535988935690304,n_regions%12__m%3,fluss_segmentation
4,8.149467649896946,1.8033351424928383,2.9934710326832805,1.627990744562133,n_regions%11__m%3,fluss_segmentation
4,8.248005725902619,1.8831919770038668,3.081486897620517,1.7091060876004616,n_regions%10__m%3,fluss_segmentation
4,8.681773431132447,2.328958307717925,3.8004146717536713,2.776122951167977,n_regions%14,uniform_split
4,9.019499317447517,2.4457411699644998,4.193991455039424,2.728622864535785,n_regions%13,uniform_split
4,9.352151638226552,2.372751310741437,4.52645686322097,2.65393623408997,n_regions%12,uniform_split
4,9.78337972851339,2.466154793320685,4.948121097006673,3.0654119062079137,n_regions%11,uniform_split
4,10.261447843718727,2.6763773944400566,6.001755804499935,3.478605596443967,n_regions%10,uniform_split
5,8.81043826139418,1.9298793714645168,2.3395105064429904,1.6844009873412435,k%8__p%msaf__pml%24__psig%2,harmov
5,9.326192243203018,1.673091430638956,3.31383462709785,1.860022984748683,n_regions%14__m%3,fluss_segmentation
