split,mean_mean_dist,std_mean_dist,mean_min_dist,std_min_dist,params,method
3,9.801112535243497,3.733701409618305,6.666347415916559,3.8779315202844993,n_regions%8__m%8,fluss_segmentation
4,9.058236553857073,3.5146097341259535,6.249723789248962,3.574374787785517,n_regions%8__m%8,fluss_segmentation
5,9.2104310758954,3.468653797877805,6.407513407253189,3.517178750025848,n_regions%8__m%8,fluss_segmentation
6,9.094109217460566,3.2873161154739066,6.514996117888546,3.1629433805246663,n_regions%8__m%8,fluss_segmentation
7,11.081787070238345,4.503532970979843,7.785084469571565,4.1983966790765965,n_regions%8__m%8,fluss_segmentation
8,10.746266249053553,4.207772915198375,7.656101921804622,3.836191985002164,n_regions%8__m%8,fluss_segmentation
9,14.069503363537448,6.429464212138958,9.840873265246703,6.6961537730748875,n_regions%8__m%8,fluss_segmentation
10,12.576791929949602,4.36358306987901,8.494385519203794,3.8015398417387476,n_regions%8__m%8,fluss_segmentation
3,9.066887493037651,3.6070447463756192,5.463141860115998,3.5983957860970675,n_regions%8__m%6,fluss_segmentation
4,8.232394624310922,3.3863969824504725,4.920085258771343,3.123204296576121,n_regions%8__m%6,fluss_segmentation
5,8.461027103765009,3.324060421947981,5.121854774852675,3.1359742883162576,n_regions%8__m%6,fluss_segmentation
6,8.377053061103124,3.1688710542272114,5.368297024463535,2.707949219342523,n_regions%8__m%6,fluss_segmentation
7,10.64789280196289,4.539521605580089,6.679695032021923,3.989671701311271,n_regions%8__m%6,fluss_segmentation
8,10.369619512752212,4.1769826955497384,6.530629083113143,3.4129219796003154,n_regions%8__m%6,fluss_segmentation
9,13.761623934810858,6.634393509061929,9.068271888978751,6.8835194353393225,n_regions%8__m%6,fluss_segmentation
10,12.266551914505941,4.2089700668693615,7.59012335906547,3.4587346464419575,n_regions%8__m%6,fluss_segmentation
3,9.041762623301453,3.6062276345706743,5.428602515970717,3.5704213806874567,n_regions%9__m%6,fluss_segmentation
4,8.211927742889339,3.396004692133775,4.897671197759671,3.12213419653808,n_regions%9__m%6,fluss_segmentation
5,8.433241869651546,3.3470777590881546,5.093472048009577,3.1328486295461113,n_regions%9__m%6,fluss_segmentation
6,8.351079914575127,3.1761534399478837,5.366358605466066,2.7087700955629126,n_regions%9__m%6,fluss_segmentation
7,10.591475719110544,4.53621148914186,6.629593432570027,3.97220848844014,n_regions%9__m%6,fluss_segmentation
8,10.323938308988787,4.177096832855456,6.4616539134394575,3.397520499220545,n_regions%9__m%6,fluss_segmentation
9,13.706919817101262,6.670129022623152,8.963879800960655,6.8828076151146425,n_regions%9__m%6,fluss_segmentation
10,12.22369924542178,4.24102234406588,7.507259457852146,3.474288853642939,n_regions%9__m%6,fluss_segmentation
3,9.777681719636718,3.7041037795416156,6.621024114512147,3.8430147479534535,n_regions%9__m%8,fluss_segmentation
4,9.025705792226706,3.478224711798114,6.183770063941477,3.528576270428253,n_regions%9__m%8,fluss_segmentation
5,9.179492209152414,3.446039484145329,6.354589897479667,3.475875608177472,n_regions%9__m%8,fluss_segmentation
6,9.072580477281866,3.274331036412809,6.483730321866161,3.1326504371208284,n_regions%9__m%8,fluss_segmentation
7,11.046156830626751,4.467425412653358,7.780337870224079,4.197708507490755,n_regions%9__m%8,fluss_segmentation
8,10.726212798010902,4.196712334118378,7.6422207806406925,3.8433512896322504,n_regions%9__m%8,fluss_segmentation
9,14.05157491747359,6.436976850490196,9.820408584489902,6.704174554883209,n_regions%9__m%8,fluss_segmentation
10,12.549784734499662,4.345234663068084,8.477470059765105,3.8104059381686035,n_regions%9__m%8,fluss_segmentation
3,9.776059331662385,3.6933014774403237,6.621024114512147,3.8430147479534535,n_regions%10__m%8,fluss_segmentation
4,9.025979905213896,3.4755521808138194,6.183770063941477,3.528576270428253,n_regions%10__m%8,fluss_segmentation
5,9.179023618731339,3.4478862264751178,6.354589897479667,3.475875608177472,n_regions%10__m%8,fluss_segmentation
6,9.07179365759583,3.277846396296346,6.483299141436021,3.1329044485486204,n_regions%10__m%8,fluss_segmentation
7,11.038362479441894,4.463379512162609,7.776416785654013,4.20066182438785,n_regions%10__m%8,fluss_segmentation
8,10.718314480711252,4.1959090530871235,7.6422207806406925,3.8433512896322504,n_regions%10__m%8,fluss_segmentation
9,14.035362828590989,6.427356483125496,9.820408584489902,6.704174554883209,n_regions%10__m%8,fluss_segmentation
10,12.535416163778041,4.341523215836296,8.477470059765105,3.8104059381686035,n_regions%10__m%8,fluss_segmentation
3,8.989842465682655,3.5612093535257094,5.403766741333567,3.5658891254426965,n_regions%10__m%6,fluss_segmentation
4,8.154443136089695,3.3290241952553568,4.835586224330521,3.078295082705511,n_regions%10__m%6,fluss_segmentation
5,8.368645545139701,3.2717686828016386,5.0050635580200336,3.03390069793794,n_regions%10__m%6,fluss_segmentation
6,8.297675609690662,3.114809360273242,5.3294776007187545,2.693126242868391,n_regions%10__m%6,fluss_segmentation
7,10.524269856677146,4.486253196653808,6.572024824425401,3.996212756056913,n_regions%10__m%6,fluss_segmentation
8,10.251859225719603,4.123037617485175,6.427270037179665,3.370028364489616,n_regions%10__m%6,fluss_segmentation
9,13.639476116699958,6.646909611183728,8.895735486034965,6.90936641077956,n_regions%10__m%6,fluss_segmentation
10,12.153604047707512,4.187333291750064,7.419973659585425,3.486309098903237,n_regions%10__m%6,fluss_segmentation
3,9.26791684270924,3.67740404439645,5.910685813988925,3.637983882124406,n_regions%6__m%6,fluss_segmentation
4,8.39519011109521,3.3864363373677224,5.187948942066137,3.0193283867677905,n_regions%6__m%6,fluss_segmentation
5,8.616255001494295,3.3596487049490893,5.350821776995798,3.0301036824649064,n_regions%6__m%6,fluss_segmentation
6,8.556514413671765,3.153830986348428,5.635725338324587,2.6640253458984193,n_regions%6__m%6,fluss_segmentation
7,10.722693545657886,4.4122717929034945,6.99712000193845,3.925088644498184,n_regions%6__m%6,fluss_segmentation
8,10.488560759821922,4.124662636948396,6.927857522609896,3.442255277830406,n_regions%6__m%6,fluss_segmentation
9,13.927876748761125,6.613099055520577,9.37163728039884,6.817206298756253,n_regions%6__m%6,fluss_segmentation
10,12.343766287846423,4.141442664407862,7.71742826655624,3.4227049604491655,n_regions%6__m%6,fluss_segmentation
3,9.899855272755582,3.698170785704373,6.86493705162263,3.868103442287688,n_regions%6__m%8,fluss_segmentation
4,9.152718826794745,3.4924944703172254,6.494506090738711,3.6562766821645294,n_regions%6__m%8,fluss_segmentation
5,9.318638349559517,3.4537980908113703,6.732227643270817,3.6569184683389357,n_regions%6__m%8,fluss_segmentation
6,9.224223774484523,3.284847420133896,6.722427581734923,3.1961500540518415,n_regions%6__m%8,fluss_segmentation
7,11.235887083454244,4.546775215223186,8.040121424113858,4.2971695715890394,n_regions%6__m%8,fluss_segmentation
8,10.890878893411893,4.291051290744556,7.85415824093977,3.8674407203095424,n_regions%6__m%8,fluss_segmentation
9,14.218768584500388,6.461327787867707,10.148449235225623,6.678638309630172,n_regions%6__m%8,fluss_segmentation
