choco_id,segment,top_dist,top_pattern,split
robbie-williams_11,0,5.2471610579109855,23,3
robbie-williams_11,1,6.409805953867144,41,3
robbie-williams_11,2,9.59623328303112,85,3
robbie-williams_11,3,4.13573936211455,49,3
robbie-williams_11,4,3.783490954792154,11,3
robbie-williams_11,5,2.367348743076026,50,3
robbie-williams_11,6,2.602934409209046,50,3
robbie-williams_11,7,5.871341550721764,72,3
robbie-williams_11,8,5.2471610579109855,23,3
robbie-williams_11,9,9.396978794470785,72,3
robbie-williams_11,-1,2.367348743076026,50,3
robbie-williams_11,-2,5.4658195167104555,7,3
robbie-williams_39,0,17.809668845869215,75,3
robbie-williams_39,1,15.983632755175483,50,3
robbie-williams_39,2,8.46142537529514,11,3
robbie-williams_39,3,4.081293423016318,62,3
robbie-williams_39,4,11.796694855445105,50,3
robbie-williams_39,5,15.498312209132578,85,3
robbie-williams_39,6,4.654629597982144,52,3
robbie-williams_39,7,5.051371059804334,14,3
robbie-williams_39,8,17.924178065789405,61,3
robbie-williams_39,9,15.463854521775293,79,3
robbie-williams_39,-1,4.081293423016318,62,3
robbie-williams_39,-2,11.672506070928502,9,3
casd_13,0,9.296621431233598,75,3
casd_13,1,11.14748175974416,79,3
casd_13,2,9.956265840600276,50,3
casd_13,3,10.761383376498626,61,3
casd_13,4,11.282990997522706,72,3
casd_13,5,9.536618205707246,79,3
casd_13,6,9.253080600239594,0,3
casd_13,7,12.074543046181018,41,3
casd_13,8,12.817304463028822,72,3
casd_13,9,16.26718427342278,75,3
casd_13,-1,9.253080600239594,0,3
casd_13,-2,11.239347399417882,7,3
jaah_2,0,17.124647943298758,72,3
jaah_2,1,12.351171072929501,9,3
jaah_2,2,15.426709083631891,11,3
jaah_2,3,13.467658446033782,86,3
jaah_2,4,11.00857680978482,11,3
jaah_2,5,16.163754022941262,72,3
jaah_2,6,11.45258539576652,85,3
jaah_2,7,14.75550845367641,39,3
jaah_2,8,12.405433008693194,75,3
jaah_2,9,12.637166557298686,85,3
jaah_2,-1,11.00857680978482,11,3
jaah_2,-2,13.679321079405483,7,3
rwc-pop_59,0,10.349165757046567,16,3
rwc-pop_59,1,13.87380486224054,85,3
rwc-pop_59,2,10.71144886287443,85,3
rwc-pop_59,3,8.543725402740401,43,3
rwc-pop_59,4,12.806329718390185,50,3
rwc-pop_59,5,11.680878609470236,28,3
rwc-pop_59,6,9.752800750207404,41,3
rwc-pop_59,7,11.54221172935377,41,3
rwc-pop_59,8,10.826282043135901,50,3
rwc-pop_59,9,8.158944232369791,6,3
rwc-pop_59,-1,8.158944232369791,6,3
rwc-pop_59,-2,10.824559196782923,7,3
rwc-pop_65,0,11.905294139056593,85,3
rwc-pop_65,1,12.060230829364357,18,3
rwc-pop_65,2,13.054889608391065,53,3
rwc-pop_65,3,13.057439645015952,11,3
rwc-pop_65,4,13.536656974496484,26,3
rwc-pop_65,5,12.923043507925245,18,3
rwc-pop_65,6,12.832799274421697,53,3
rwc-pop_65,7,5.2599206985517855,63,3
rwc-pop_65,8,4.877573713127421,35,3
rwc-pop_65,9,15.66693125150796,49,3
rwc-pop_65,-1,4.877573713127421,35,3
rwc-pop_65,-2,11.517477964185856,8,3
schubert-winterreise-audio_146,0,9.861104365655242,41,3
schubert-winterreise-audio_146,1,11.161872421650132,6,3
schubert-winterreise-audio_146,2,2.891364402733349,55,3
schubert-winterreise-audio_146,3,6.1593243989198765,13,3
schubert-winterreise-audio_146,4,2.54723510079843,9,3
schubert-winterreise-audio_146,5,3.6154313212292624,3,3
schubert-winterreise-audio_146,6,7.5318586134899554,32,3
schubert-winterreise-audio_146,7,2.9836056202231793,87,3
schubert-winterreise-audio_146,8,8.030559942154854,35,3
schubert-winterreise-audio_146,9,13.871833496909938,75,3
schubert-winterreise-audio_146,-1,2.54723510079843,9,3
schubert-winterreise-audio_146,-2,6.865418968376423,10,3
casd_3,0,14.374275559473974,61,3
casd_3,1,4.41752939920785,14,3
casd_3,2,9.36824270941699,13,3
casd_3,3,12.916681689735938,80,3
casd_3,4,13.189114255304506,43,3
casd_3,5,10.157426130107217,11,3
casd_3,6,13.097639365779049,68,3
casd_3,7,15.814884844339362,85,3
casd_3,8,13.94524923473178,14,3
casd_3,9,8.43676203449137,73,3
casd_3,-1,4.41752939920785,14,3
casd_3,-2,11.571780522258802,9,3
schubert-winterreise-audio_14,0,11.455699711752668,75,3
schubert-winterreise-audio_14,1,9.740677423599973,75,3
schubert-winterreise-audio_14,2,7.736424187906194,16,3
schubert-winterreise-audio_14,3,2.2504458535662506,62,3
schubert-winterreise-audio_14,4,5.38842066740726,85,3
schubert-winterreise-audio_14,5,12.843774546050474,50,3
schubert-winterreise-audio_14,6,11.287482149262376,61,3
schubert-winterreise-audio_14,7,9.581259576761758,61,3
schubert-winterreise-audio_14,8,11.484143542868079,75,3
schubert-winterreise-audio_14,9,10.079661890598082,6,3
schubert-winterreise-audio_14,-1,2.2504458535662506,62,3
schubert-winterreise-audio_14,-2,9.184798954977314,7,3
casd_2,0,10.001471354300415,75,3
casd_2,1,8.262615116368226,85,3
casd_2,2,4.18869720848852,50,3
