choco_id,segment,top_dist,top_pattern,split
robbie-williams_11,0,4.554857855436791,58,3
robbie-williams_11,1,3.3000018016065407,34,3
robbie-williams_11,2,3.295855502876045,87,3
robbie-williams_11,3,3.269140108825196,87,3
robbie-williams_11,4,3.0721602898630125,82,3
robbie-williams_11,5,3.1695076644047693,82,3
robbie-williams_11,6,2.9703749307938727,82,3
robbie-williams_11,7,3.176019315437689,82,3
robbie-williams_11,-1,2.9703749307938727,82,3
robbie-williams_11,-2,3.3509896836554898,4,3
robbie-williams_10,0,5.764296191439133,16,3
robbie-williams_10,1,8.950119403477487,11,3
robbie-williams_10,2,8.558204580176117,11,3
robbie-williams_10,3,8.341941649730884,85,3
robbie-williams_10,4,7.083164881072673,85,3
robbie-williams_10,5,10.766768576902962,11,3
robbie-williams_10,6,7.6097206124954315,85,3
robbie-williams_10,7,7.583247855506896,26,3
robbie-williams_10,-1,5.764296191439133,16,3
robbie-williams_10,-2,8.082182968850198,4,3
schubert-winterreise-audio_1,0,2.773076349034464,31,3
schubert-winterreise-audio_1,1,5.274735061055503,85,3
schubert-winterreise-audio_1,2,5.706401687055596,62,3
schubert-winterreise-audio_1,3,8.518201118620361,85,3
schubert-winterreise-audio_1,4,10.628607661981999,49,3
schubert-winterreise-audio_1,5,6.818175332393413,85,3
schubert-winterreise-audio_1,6,9.74310329572428,85,3
schubert-winterreise-audio_1,7,5.8192911786265595,79,3
schubert-winterreise-audio_1,-1,2.773076349034464,31,3
schubert-winterreise-audio_1,-2,6.910198960561521,5,3
schubert-winterreise-audio_0,0,14.203673889594548,16,3
schubert-winterreise-audio_0,1,5.6733570120316825,55,3
schubert-winterreise-audio_0,2,11.991574529261968,18,3
schubert-winterreise-audio_0,3,8.73731456878826,59,3
schubert-winterreise-audio_0,4,7.695374400127982,13,3
schubert-winterreise-audio_0,5,10.2892183507168,11,3
schubert-winterreise-audio_0,6,8.201389053197177,43,3
schubert-winterreise-audio_0,7,10.519318619058678,13,3
schubert-winterreise-audio_0,-1,5.6733570120316825,55,3
schubert-winterreise-audio_0,-2,9.663902552847137,7,3
uspop2002_11,0,3.6540336547518883,30,3
uspop2002_11,1,6.949516446107635,41,3
uspop2002_11,2,9.160009112665453,50,3
uspop2002_11,3,7.3763489062464025,41,3
uspop2002_11,4,7.400790522418417,32,3
uspop2002_11,5,7.112021943418222,41,3
uspop2002_11,6,9.675164032136705,11,3
uspop2002_11,7,8.592817009672219,41,3
uspop2002_11,-1,3.6540336547518883,30,3
uspop2002_11,-2,7.490087703427117,5,3
casd_15,0,9.057420211070328,2,3
casd_15,1,15.822617731172834,28,3
casd_15,2,9.066867464144735,1,3
casd_15,3,12.265190537853275,16,3
casd_15,4,12.448048999747689,49,3
casd_15,5,13.453524616752123,6,3
casd_15,6,14.34250644350719,79,3
casd_15,7,12.336854485520547,4,3
casd_15,-1,9.057420211070328,2,3
casd_15,-2,12.349128811221089,8,3
casd_5,0,8.463866683673688,4,3
casd_5,1,10.379023939226387,1,3
casd_5,2,12.825291785904097,4,3
casd_5,3,10.240406896828075,44,3
casd_5,4,14.15168590772548,4,3
casd_5,5,7.8108395976345735,30,3
casd_5,6,6.904155291226769,5,3
casd_5,7,0.0,27,3
casd_5,-1,0.0,27,3
casd_5,-2,8.846908762777383,6,3
schubert-winterreise-audio_5,0,14.157954701571411,61,3
schubert-winterreise-audio_5,1,5.421365229464668,16,3
schubert-winterreise-audio_5,2,5.169941938095806,43,3
schubert-winterreise-audio_5,3,6.851447333144909,60,3
schubert-winterreise-audio_5,4,15.08837422855358,83,3
schubert-winterreise-audio_5,5,4.760119703927558,62,3
schubert-winterreise-audio_5,6,5.057281866882045,55,3
schubert-winterreise-audio_5,7,4.146220145893896,60,3
schubert-winterreise-audio_5,-1,4.146220145893896,60,3
schubert-winterreise-audio_5,-2,7.581588143441733,7,3
jaah_11,0,16.602651536725713,75,3
jaah_11,1,13.577266006076556,11,3
jaah_11,2,15.04656861582011,6,3
jaah_11,3,15.072289146606304,6,3
jaah_11,4,15.199642495326376,28,3
jaah_11,5,12.698050539939715,11,3
jaah_11,6,12.865373523906385,11,3
jaah_11,7,13.833883680775347,11,3
jaah_11,-1,12.698050539939715,11,3
jaah_11,-2,14.361965693147063,4,3
casd_16,0,15.940035149608354,2,3
casd_16,1,15.557629431616832,49,3
casd_16,2,21.73520517217027,79,3
casd_16,3,16.36050644768467,83,3
casd_16,4,21.748043770596926,16,3
casd_16,5,16.457580683382936,6,3
casd_16,6,16.025256893472353,6,3
casd_16,7,10.795705866710302,11,3
casd_16,-1,10.795705866710302,11,3
casd_16,-2,16.82749542690533,7,3
isophonics_199,0,3.4518946528553585,18,3
isophonics_199,1,4.084460560921326,18,3
isophonics_199,2,4.5628456085607825,18,3
isophonics_199,3,4.0748423369921465,18,3
isophonics_199,4,3.5423797398310186,18,3
isophonics_199,5,6.880649770218235,85,3
isophonics_199,6,11.496871828073642,34,3
isophonics_199,7,8.962018548106178,43,3
isophonics_199,-1,3.4518946528553585,18,3
isophonics_199,-2,5.8819953806948355,4,3
schubert-winterreise-audio_11,0,4.71516262929389,83,3
schubert-winterreise-audio_11,1,2.3118883161188557,87,3
schubert-winterreise-audio_11,2,6.904284457953458,11,3
schubert-winterreise-audio_11,3,4.070755012692981,80,3
schubert-winterreise-audio_11,4,10.300941392856894,48,3
schubert-winterreise-audio_11,5,5.335503546761352,82,3
schubert-winterreise-audio_11,6,7.070226969028579,48,3
schubert-winterreise-audio_11,7,2.4905290280333636,62,3
schubert-winterreise-audio_11,-1,2.3118883161188557,87,3
schubert-winterreise-audio_11,-2,5.3999114190924224,7,3
schubert-winterreise-audio_10,0,10.070662941477888,16,3
schubert-winterreise-audio_10,1,10.013115655815724,11,3
schubert-winterreise-audio_10,2,7.707205116094016,18,3
schubert-winterreise-audio_10,3,9.774980194973708,11,3
schubert-winterreise-audio_10,4,9.307343066546052,11,3
schubert-winterreise-audio_10,5,10.322418256796812,85,3
schubert-winterreise-audio_10,6,7.157498583240123,28,3
schubert-winterreise-audio_10,7,4.647631184190159,43,3
schubert-winterreise-audio_10,-1,4.647631184190159,43,3
schubert-winterreise-audio_10,-2,8.62510687489181,6,3
isophonics_198,0,3.9733056948925274,73,3
isophonics_198,1,9.123459588514542,49,3
isophonics_198,2,6.494761448909429,85,3
isophonics_198,3,8.980110801760222,49,3
isophonics_198,4,5.317756806719374,85,3
isophonics_198,5,6.067667376839072,11,3
isophonics_198,6,5.58687203362446,32,3
isophonics_198,7,4.7675141781397326,41,3
isophonics_198,-1,3.9733056948925274,73,3
isophonics_198,-2,6.2889309911749205,6,3
casd_17,0,9.159262674840694,6,3
casd_17,1,18.273845041589986,16,3
casd_17,2,7.294978156377271,6,3
