split,mean_mean_dist,std_mean_dist,mean_min_dist,std_min_dist,params,method
3,8.771496515202426,2.4475620107026694,2.3367165989459195,2.14790104875723,k%8__p%msaf__pml%24__psig%2,harmov
4,7.630682044501654,2.108297210268968,2.083419898027133,1.7957414246476888,k%8__p%msaf__pml%24__psig%2,harmov
5,8.785917343763469,2.0636832802729845,2.6606614656493766,1.9285941385027177,k%8__p%msaf__pml%24__psig%2,harmov
6,9.153051388620034,2.0026993858272686,3.877918253158146,1.777953149951706,k%8__p%msaf__pml%24__psig%2,harmov
7,15.785446143296582,4.121445317633554,5.978453813069457,4.258876451301738,k%8__p%msaf__pml%24__psig%2,harmov
8,14.21865267871441,3.5859816462927623,6.159764554405199,3.4592896462732488,k%8__p%msaf__pml%24__psig%2,harmov
9,17.481573841402067,3.836290232260381,8.384147165393296,4.279976255946063,k%8__p%msaf__pml%24__psig%2,harmov
10,17.002675063985517,3.4630567861839063,8.601822767087352,3.857242660939419,k%8__p%msaf__pml%24__psig%2,harmov
