split,mean_mean_dist,std_mean_dist,mean_min_dist,std_min_dist,params,method
3,8.843469781419625,2.2541841998995675,1.8949152043993942,1.4379169707722455,k%8__p%msaf__pml%24__psig%2,harmov
4,7.678270453460645,2.0390320854751307,1.7011197194462977,1.3690473211996395,k%8__p%msaf__pml%24__psig%2,harmov
5,8.81043826139418,1.9298793714645166,2.3395105064429904,1.6844009873412435,k%8__p%msaf__pml%24__psig%2,harmov
6,9.177129146375542,1.7768290838748637,3.7451719298914474,1.405608324364984,k%8__p%msaf__pml%24__psig%2,harmov
7,15.64862632711102,3.7532226875515935,5.509294144422916,3.0366022239632464,k%8__p%msaf__pml%24__psig%2,harmov
8,14.132560500516846,3.330883421099234,5.872835249823702,2.3968520599997882,k%8__p%msaf__pml%24__psig%2,harmov
9,17.290276120387865,3.7184663176179615,8.096401504372304,3.3604472600262922,k%8__p%msaf__pml%24__psig%2,harmov
10,16.756576318766452,3.208940220516916,8.090020058829094,2.7089826347102894,k%8__p%msaf__pml%24__psig%2,harmov
