choco_id,segment,top_dist,top_pattern,split
robbie-williams_11,0,2.827586206896552,42,3
robbie-williams_11,1,4.568444993121008,49,3
robbie-williams_11,2,2.756410752738447,34,3
robbie-williams_11,3,7.071866519957787,41,3
robbie-williams_11,4,4.791521693855438,50,3
robbie-williams_11,5,4.835307864067102,83,3
robbie-williams_11,6,7.110161708736007,85,3
robbie-williams_11,7,2.261251429222176,50,3
robbie-williams_11,8,1.8540696632786295,44,3
robbie-williams_11,9,6.858862532793424,61,3
robbie-williams_11,10,3.5575780349045356,34,3
robbie-williams_11,11,2.827586206896552,42,3
robbie-williams_11,12,6.211133611283659,6,3
robbie-williams_11,13,3.409087666196707,34,3
robbie-williams_11,-1,1.8540696632786295,44,3
robbie-williams_11,-2,4.352919205996288,10,3
robbie-williams_39,0,17.32448934411871,75,3
robbie-williams_39,1,14.85366591791236,75,3
robbie-williams_39,2,13.142919226816232,85,3
robbie-williams_39,3,6.718321976383621,85,3
robbie-williams_39,4,3.9468450953763767,43,3
robbie-williams_39,5,4.77075539254087,14,3
robbie-williams_39,6,16.189499099537816,85,3
robbie-williams_39,7,12.30696370065062,73,3
robbie-williams_39,8,8.832871531987461,41,3
robbie-williams_39,9,3.152486137417764,14,3
robbie-williams_39,10,3.0183249285910394,34,3
robbie-williams_39,11,17.32448934411871,75,3
robbie-williams_39,12,18.307682123427348,61,3
robbie-williams_39,13,4.4814321644923405,6,3
robbie-williams_39,-1,3.0183249285910394,34,3
robbie-williams_39,-2,10.312196141669377,9,3
casd_13,0,6.677780075001214,75,3
casd_13,1,9.743011764346294,75,3
casd_13,2,6.872284892470756,85,3
casd_13,3,7.626577535102483,11,3
casd_13,4,8.326104672953031,75,3
casd_13,5,9.16795652655326,75,3
casd_13,6,9.508225989869784,50,3
casd_13,7,11.365966575483403,79,3
casd_13,8,1.1559441580594296,0,3
casd_13,9,10.854649901984356,16,3
casd_13,10,7.631720834864708,41,3
casd_13,11,12.275389859185976,72,3
casd_13,12,12.85134063064069,85,3
casd_13,13,13.74332612869487,75,3
casd_13,-1,1.1559441580594296,0,3
casd_13,-2,9.128591396086447,9,3
jaah_2,0,14.987489828767842,72,3
jaah_2,1,13.358809391079944,86,3
jaah_2,2,9.515367131792356,33,3
jaah_2,3,15.815495720183694,85,3
jaah_2,4,14.815793225277329,18,3
jaah_2,5,9.76531998631874,13,3
jaah_2,6,14.089255990429468,41,3
jaah_2,7,12.587529453422736,28,3
jaah_2,8,12.180018626650005,85,3
jaah_2,9,9.13427057459135,85,3
jaah_2,10,10.887627292566146,75,3
jaah_2,11,12.568918215700222,85,3
jaah_2,12,8.709661561646955,85,3
jaah_2,13,9.091636145394173,28,3
jaah_2,-1,8.709661561646955,85,3
jaah_2,-2,11.964799510272927,9,3
rwc-pop_59,0,3.823545552825323,16,3
rwc-pop_59,1,13.975762525488426,6,3
rwc-pop_59,2,12.001832995161926,72,3
rwc-pop_59,3,7.751184175573582,85,3
rwc-pop_59,4,7.304934562712882,55,3
rwc-pop_59,5,9.764604598889376,13,3
rwc-pop_59,6,11.183250916891499,50,3
rwc-pop_59,7,4.098555471871134,16,3
rwc-pop_59,8,10.742832137316439,50,3
rwc-pop_59,9,10.420541887174307,83,3
rwc-pop_59,10,11.627300380992214,41,3
rwc-pop_59,11,7.446998613347908,55,3
rwc-pop_59,12,11.71208812822993,85,3
rwc-pop_59,13,6.383945194201495,6,3
rwc-pop_59,-1,3.823545552825323,16,3
rwc-pop_59,-2,9.15981265290546,9,3
rwc-pop_65,0,12.414164266481905,49,3
rwc-pop_65,1,11.127250136510625,50,3
rwc-pop_65,2,11.410771555468193,50,3
rwc-pop_65,3,13.5496839738322,83,3
rwc-pop_65,4,4.570038910998247,82,3
rwc-pop_65,5,16.711797793578654,85,3
rwc-pop_65,6,8.722025095114656,60,3
rwc-pop_65,7,13.835763769894097,85,3
rwc-pop_65,8,11.593606524603329,50,3
rwc-pop_65,9,5.670369613849648,82,3
rwc-pop_65,10,4.635558937036571,82,3
rwc-pop_65,11,3.074771725718747,19,3
rwc-pop_65,12,5.998141805006011,87,3
rwc-pop_65,13,16.20925331360277,61,3
rwc-pop_65,-1,3.074771725718747,19,3
rwc-pop_65,-2,9.96594267297826,9,3
schubert-winterreise-audio_146,0,13.33527903956345,16,3
schubert-winterreise-audio_146,1,4.741159869530061,50,3
schubert-winterreise-audio_146,2,10.373681025853807,49,3
schubert-winterreise-audio_146,3,1.9127055002166058,62,3
schubert-winterreise-audio_146,4,7.091029485741653,14,3
schubert-winterreise-audio_146,5,2.8381845112425834,62,3
schubert-winterreise-audio_146,6,2.3075768287213867,33,3
schubert-winterreise-audio_146,7,3.7157872531699723,3,3
schubert-winterreise-audio_146,8,3.6599675768366895,82,3
schubert-winterreise-audio_146,9,9.844737000609879,62,3
schubert-winterreise-audio_146,10,2.8284796738107443,14,3
schubert-winterreise-audio_146,11,3.1322419060326823,82,3
schubert-winterreise-audio_146,12,12.622479616801744,79,3
schubert-winterreise-audio_146,13,9.171992471526607,50,3
schubert-winterreise-audio_146,-1,1.9127055002166058,62,3
schubert-winterreise-audio_146,-2,6.255378697118418,9,3
casd_3,0,13.682965446156523,50,3
casd_3,1,7.059539552409443,17,3
casd_3,2,2.9902735708522497,87,3
casd_3,3,7.999609829962277,32,3
casd_3,4,10.011720242378574,14,3
casd_3,5,11.676806080337734,32,3
casd_3,6,11.716275253953247,72,3
casd_3,7,5.642542667333179,32,3
casd_3,8,7.140470979047247,44,3
casd_3,9,14.4410421361686,68,3
casd_3,10,13.218348325768828,11,3
casd_3,11,13.065951340155284,62,3
casd_3,12,12.14204475744492,13,3
casd_3,13,7.763217029329457,73,3
casd_3,-1,2.9902735708522497,87,3
casd_3,-2,9.896486229378398,12,3
schubert-winterreise-audio_14,0,6.5134088347981915,49,3
schubert-winterreise-audio_14,1,9.560434221154777,1,3
schubert-winterreise-audio_14,2,13.597842033451714,79,3
schubert-winterreise-audio_14,3,7.67373099890266,41,3
schubert-winterreise-audio_14,4,1.062550271595214,62,3
schubert-winterreise-audio_14,5,4.034114336258007,50,3
schubert-winterreise-audio_14,6,5.90456201224785,45,3
schubert-winterreise-audio_14,7,13.39761678631365,32,3
schubert-winterreise-audio_14,8,7.8112201686539775,75,3
schubert-winterreise-audio_14,9,7.413251784568164,75,3
schubert-winterreise-audio_14,10,9.567753884148242,61,3
schubert-winterreise-audio_14,11,11.99915771915197,41,3
schubert-winterreise-audio_14,12,12.742300839242672,79,3
schubert-winterreise-audio_14,13,4.7319341659884175,6,3
schubert-winterreise-audio_14,-1,1.062550271595214,62,3
schubert-winterreise-audio_14,-2,8.286419861176823,11,3
casd_2,0,7.571498280188442,16,3
casd_2,1,8.954950669781292,23,3
casd_2,2,3.878658949141755,39,3
casd_2,3,3.9267217722086816,50,3
casd_2,4,6.6987140938613035,75,3
casd_2,5,5.550760250443829,2,3
casd_2,6,11.060569917348369,39,3
casd_2,7,5.410937089844022,49,3
casd_2,8,3.0212780878604146,48,3
casd_2,9,12.36539896475926,41,3
casd_2,10,17.029002329347925,75,3
casd_2,11,11.076697267432204,79,3
casd_2,12,6.6987140938613035,75,3
casd_2,13,7.793790021633118,39,3
casd_2,-1,3.0212780878604146,48,3
casd_2,-2,7.931263699122279,10,3
schubert-winterreise-audio_147,0,12.794032868924859,75,3
schubert-winterreise-audio_147,1,17.010602065762242,72,3
schubert-winterreise-audio_147,2,6.44073411078661,83,3
schubert-winterreise-audio_147,3,4.75399575349588,11,3
schubert-winterreise-audio_147,4,4.915426225889681,13,3
schubert-winterreise-audio_147,5,8.221733907292945,41,3
schubert-winterreise-audio_147,6,4.793630583764546,13,3
schubert-winterreise-audio_147,7,3.793534458270811,50,3
schubert-winterreise-audio_147,8,12.847280487846938,85,3
schubert-winterreise-audio_147,9,11.43451863477588,28,3
schubert-winterreise-audio_147,10,6.493525541612348,50,3
schubert-winterreise-audio_147,11,4.87958449333406,32,3
schubert-winterreise-audio_147,12,11.959329613477719,75,3
schubert-winterreise-audio_147,13,8.245093665935372,79,3
schubert-winterreise-audio_147,-1,3.793534458270811,50,3
schubert-winterreise-audio_147,-2,8.470215886512136,11,3
rwc-pop_64,0,8.985504908140731,32,3
rwc-pop_64,1,3.5083982815215804,44,3
rwc-pop_64,2,11.241987502058203,32,3
rwc-pop_64,3,16.29420722406101,49,3
rwc-pop_64,4,6.490984326491158,82,3
rwc-pop_64,5,3.648497483653825,82,3
rwc-pop_64,6,19.038964364963988,72,3
rwc-pop_64,7,11.707823334398613,9,3
rwc-pop_64,8,7.013342982199649,14,3
rwc-pop_64,9,5.9825598695000295,82,3
rwc-pop_64,10,7.506398380505059,11,3
rwc-pop_64,11,4.696401081183217,34,3
rwc-pop_64,12,5.411156836715591,32,3
rwc-pop_64,13,5.087054283589424,82,3
rwc-pop_64,-1,3.5083982815215804,44,3
rwc-pop_64,-2,8.329520061355861,9,3
rwc-pop_58,0,18.204463656679057,75,3
rwc-pop_58,1,17.09332118147552,75,3
rwc-pop_58,2,17.578691768178267,72,3
rwc-pop_58,3,16.73582066175287,50,3
rwc-pop_58,4,15.54924859875008,85,3
rwc-pop_58,5,3.0776224280685076,63,3
rwc-pop_58,6,3.0007926023916367,62,3
rwc-pop_58,7,13.194680133628681,85,3
rwc-pop_58,8,14.872995823177071,28,3
rwc-pop_58,9,16.968425598765265,85,3
rwc-pop_58,10,17.384517897962823,61,3
rwc-pop_58,11,8.186714535577702,55,3
rwc-pop_58,12,3.157103234349875,63,3
rwc-pop_58,13,4.341439565739994,14,3
rwc-pop_58,-1,3.0007926023916367,62,3
rwc-pop_58,-2,12.096131263321238,10,3
casd_12,0,14.267405457958487,75,3
casd_12,1,14.267405457958487,75,3
casd_12,2,14.267405457958487,75,3
casd_12,3,14.219842611650767,61,3
casd_12,4,14.267405457958487,75,3
casd_12,5,14.267405457958487,75,3
casd_12,6,14.267405457958487,75,3
casd_12,7,14.267405457958487,75,3
casd_12,8,14.267405457958487,75,3
casd_12,9,14.433578237471735,75,3
casd_12,10,6.328267369143205,85,3
casd_12,11,13.663072427421149,11,3
casd_12,12,13.240200647972566,49,3
casd_12,13,13.240200647972566,49,3
casd_12,-1,6.328267369143205,85,3
casd_12,-2,13.518886114664275,5,3
robbie-williams_38,0,4.858613347685408,16,3
robbie-williams_38,1,11.705969695674613,85,3
robbie-williams_38,2,13.067987407670671,72,3
robbie-williams_38,3,14.814920412381838,50,3
robbie-williams_38,4,14.51901250560557,75,3
robbie-williams_38,5,14.767923268673943,61,3
robbie-williams_38,6,15.408874475575521,75,3
robbie-williams_38,7,12.302337297142017,20,3
robbie-williams_38,8,5.811291235723534,49,3
robbie-williams_38,9,12.775175652833942,85,3
robbie-williams_38,10,14.038443057264475,18,3
robbie-williams_38,11,14.33735506630373,18,3
robbie-williams_38,12,12.390015542231652,50,3
robbie-williams_38,13,7.057138971547436,85,3
robbie-williams_38,-1,4.858613347685408,16,3
robbie-williams_38,-2,11.989646995451023,9,3
uspop2002_12,0,8.877351642014691,61,3
uspop2002_12,1,12.936872245478746,75,3
uspop2002_12,2,3.025456795730186,27,3
uspop2002_12,3,12.391538960602448,16,3
uspop2002_12,4,12.578634944814588,61,3
uspop2002_12,5,0.7365520470101315,5,3
uspop2002_12,6,8.582172573887718,1,3
uspop2002_12,7,12.684394992970425,75,3
uspop2002_12,8,12.74035271866353,61,3
uspop2002_12,9,11.374777048944674,41,3
uspop2002_12,10,5.72559183862219,79,3
uspop2002_12,11,7.370785439990648,28,3
uspop2002_12,12,11.740379217116978,75,3
uspop2002_12,13,11.02887788687134,79,3
uspop2002_12,-1,0.7365520470101315,5,3
uspop2002_12,-2,9.413838453765592,9,3
